region,city_name,city_name_jpn,slogan
Kanto,Pallet Town,マサラタウン,A Pure White Beginning
Kanto,Viridian City,トキワシティ,The City of Evergreen
Kanto,Pewter City,ニビシティ,Between Rugged Mountains
Kanto,Cerulean City,ハナダシティ,The Floral Lagoon City
Kanto,Vermilion City,クチバシティ,The Port of Exquisite Sunsets
Kanto,Lavender Town,シオンタウン,The Noble Town
Kanto,Celadon City,タマムシシティ,City of the Rainbow's Colors
Kanto,Fuchsia City,セキチクシティ,Happening and Passing City
Kanto,Saffron City,ヤマブキシティ,Shining Big City
Kanto,Cinnabar Island,グレンタウン,The Ravaged Town of the Past
Kanto,Indigo Plateau,セキエイこうげん,The ultimate Goal of Trainers!
Sevii Islands,One Island,１のしま,Friends Gather at Knot Island
Sevii Islands,Two Island,２のしま,Boon Island for Two
Sevii Islands,Three Island,３のしま,Kin Island of Family Bonding
Sevii Islands,Four Island,４のしま,"The Warm, Blue, Floe Island"
Sevii Islands,Five Island,５のしま,Chrono Island: Where Time Goes
Sevii Islands,Six Island,６のしま,Fortune Island of Aged Wisdom
Sevii Islands,Seven Island,７のしま,Quest Island of Infinity
Johto,New Bark Town,ワカバタウン,Winds of a New Beginning
Johto,Cherrygrove City,ヨシノシティ,The City of Fragrant Flowers
Johto,Violet City,キキョウシティ,The City of Nostalgic Scents
Johto,Azalea Town,ヒワダタウン,Living Happily with Pokémon
Johto,Goldenrod City,コガネシティ,A Happening Big City
Johto,Ecruteak City,エンジュシティ,A Historical City
Johto,Olivine City,アサギシ,The Port with Sea Breezes
Johto,Frontier Access,フロンティアフロント,
Johto,Cianwood City,タンバシティ,A Port of Crashing Waves
Johto,Safari Zone Gate,サファリゾーンゲート,
Johto,Mahogany Town,チョウジタウン,Home of the Ninja
Johto,Blackthorn City,フスベシティ,A Quiet Mountain Retreat
Hoenn,Littleroot Town,ミシロタウン,A town that can't be shaded any hue.
Hoenn,Oldale Town,コトキタウン,Where things start off scarce.
Hoenn,Petalburg City,トウカシティ,Where people mingle with nature.
Hoenn,Rustboro City,カナズミシティ,The city probing the integration of nature and science.
Hoenn,Dewford Town,ムロタウン,A tiny island in the blue sea.
Hoenn,Slateport City,カイナシティ,The port where people and Pokémon cross paths with nature.
Hoenn,Mauville City,キンセツシティ,The bright and shiny city of fun!
Hoenn,Verdanturf Town,シダケタウン,The windswept highlands with the sweet fragrance of grass.
Hoenn,Lavaridge Town,フエンタウン,An excellent place for relaxing!
Hoenn,Fallarbor Town,ハジツゲタ,A farm community with small gardens.
Hoenn,Fortree City,フエンタウン,The treetop city that frolics with nature.
Hoenn,Lilycove City,ミナモシティ,Where the land ends and the sea begins.
Hoenn,Mossdeep City,トクサネシティ,Our slogan: Cherish Pokémon!
Hoenn,Sootopolis City,ルネシティ,The mystical city where history slumbers.
