city_name,region,slogan
Pallet Town,Kanto,A Pure White Beginning
Viridian City,Kanto,The City of Evergreen
Pewter City,Kanto,Between Rugged Mountains
Cerulean City,Kanto,The Floral Lagoon City
Vermilion City,Kanto,The Port of Exquisite Sunsets
Lavender Town,Kanto,The Noble Town
Celadon City,Kanto,City of the Rainbow's Colors
Fuchsia City,Kanto,Happening and Passing City
Saffron City,Kanto,Shining Big City
Cinnabar Island,Kanto,The Ravaged Town of the Past
Indigo Plateau,Kanto,The ultimate Goal of Trainers!
One Island,Sevii Islands,Friends Gather at Knot Island
Two Island,Sevii Islands,Boon Island for Two
Three Island,Sevii Islands,Kin Island of Family Bonding
Four Island,Sevii Islands,"The Warm, Blue, Floe Island"
Five Island,Sevii Islands,Chrono Island: Where Time Goes
Six Island,Sevii Islands,Fortune Island of Aged Wisdom
Seven Island,Sevii Islands,Quest Island of Infinity
New Bark Town,Johto,Winds of a New Beginning
Cherrygrove City,Johto,The City of Fragrant Flowers
Violet City,Johto,The City of Nostalgic Scents
Azalea Town,Johto,Living Happily with Pokémon
Goldenrod City,Johto,A Happening Big City
Ecruteak City,Johto,A Historical City
Olivine City,Johto,The Port with Sea Breezes
Frontier Access,Johto,NULL
Cianwood City,Johto,A Port of Crashing Waves
Safari Zone Gate,Johto,NULL
Mahogany Town,Johto,Home of the Ninja
Blackthorn City,Johto,A Quiet Mountain Retreat
